sensor,file_name,stripe_count,area_ratio,aspect_ratio,curvature,mean_snr,mean_contrast,norm_spacing
SAR,10.png,1,0.0005132021240909779,16.87497032833806,0.052196894615130496,0.8323907343156424,0.09838906036414835,0.0
SAR,415.png,17,0.3352048054797798,3.1087375039313287,0.04989038266657851,0.41642380929383277,0.054243917127088565,0.017745481003486947
SAR,s1a-iw-grd-vv-20200310t115114-20200310t115142-031613-03a4a2-001.png,5,0.0558639971204693,5.248987492022109,0.04888237746998019,0.41105080180602493,0.03526003718585326,0.02477737382158927
SAR,s1a-iw-grd-vv-20200310t115114-20200310t115142-031613-03a4a2-001.png,1,0.00019021076512020646,46.708107473344405,0.021253756977243448,0.4787486667669524,0.04028309961747227,0.0
SAR,s1a-iw-grd-vv-20200310t115114-20200310t115142-031613-03a4a2-001.png,5,0.03573181258180069,2.4824536579551504,0.053021053962582186,0.6358359523050477,0.05902012450259887,0.014086231825600523
SAR,s1a-iw-grd-vv-20200310t115114-20200310t115142-031613-03a4a2-001.png,1,0.000181391232196626,27.153265147807968,0.022846079380445302,0.836246076149674,0.09491616238524536,0.0
SAR,303.png,24,0.5447113768959753,1.2530209085942394,0.0492531308816774,0.5161967395990326,0.080568427284694,0.026524216055527124
SAR,124.png,1,0.0005073547778783882,7.4755547209803925,0.13376917274327382,0.638665916099613,0.12988387554350855,0.0
SAR,124.png,19,0.18550439135286467,4.432124701269347,0.08115267053690918,0.6759219871763701,0.10597368725830171,0.006436807198498699
SAR,124.png,1,0.0016166044729961776,19.265105852194047,0.051413173285972384,0.9585561217567217,0.14600832000502284,0.0
SAR,406.png,17,0.3104994587285148,3.4499826321795113,0.04551981241537289,0.41751911779564327,0.057279555449968815,0.017458437139347513
SAR,406.png,3,0.010960485332686454,2.4656632574257626,0.04559118083021551,0.7420017832448376,0.11034097542169273,0.030747479327440916
SAR,406.png,2,0.00691076469460794,12.077384306314826,0.02465151547680197,0.5635208001033948,0.09109602168890321,0.01266750443292976
SAR,406.png,1,0.00028940668999499937,30.381260577243996,0.024400824205617608,0.3889759586239083,0.06265834130498706,0.0
SAR,42.png,17,0.45779838972215714,2.186152744261664,0.14283852332080407,0.6895942740135642,0.11907745841482974,0.025121706782719133
SAR,42.png,1,0.000277737977887188,33.03215079600448,0.02869022869022869,0.6694643097969659,0.10707520972180272,0.0
SAR,42.png,1,0.000198678012735716,34.737724655388185,0.028326654691170378,0.3637905302100172,0.07138997162770586,0.0
SAR,s1a-iw-grd-vv-20180107t214846-20180107t214911-020054-0222c6-001.png,4,0.023882513912508396,2.443060133157791,0.03157861869257193,0.48637543738687883,0.041191632122961654,0.035512075898264446
SAR,s1a-iw-grd-vv-20180107t214846-20180107t214911-020054-0222c6-001.png,8,0.052148256083508926,2.398021810601734,0.026775093776116893,0.35460096813155295,0.02946618625392991,0.017253699343559352
SAR,s1a-iw-grd-vv-20180107t214846-20180107t214911-020054-0222c6-001.png,4,0.021457672520714288,6.658353609822411,0.03087867236337923,0.5810544035365082,0.0485324570653832,0.0242939891844839
SAR,s1a-iw-grd-vv-20210521t102517-20210521t102546-037985-047bb3-001.png,3,0.02517651129624765,3.9250953271161917,0.0776686173178643,1.0645935373565951,0.08613011568201372,0.025086035860999004
SAR,s1a-iw-grd-vv-20170810t120014-20170810t120039-017861-01df20-001.png,3,0.049934396223904276,8.815888554086083,0.08340309928743067,0.6985922244361387,0.07559456345487009,0.017633998353465193
SAR,s1a-iw-grd-vv-20170810t120014-20170810t120039-017861-01df20-001.png,2,0.0058943003665199445,6.714324022825158,0.032080899429938775,0.6616829418154134,0.11950679848342714,0.01847045859326091
SAR,211.png,1,0.008688927468940233,4.57084741547061,1.5617072334590332,0.8475071858459182,0.16333010980553303,0.0
SAR,211.png,22,0.37353991460472,3.5520824662618726,0.059255475895590146,0.549379367555368,0.10271950977998688,0.020390396166493425
SAR,211.png,1,0.0004993953989958014,11.15655158597949,0.06484641638225254,0.6916048326099666,0.12235818025052074,0.0
SAR,211.png,2,0.001846313331254068,4.035638814453869,0.053152273930144156,0.7881096461552218,0.16182622963124133,0.010202909500268309
SAR,211.png,1,0.00020599360670629785,26.999904035151914,0.03565306822077476,0.33628723732787774,0.05299269413087208,0.0
SAR,211.png,2,0.00673666278648874,2.2041091621339444,0.04303282872756138,0.6189224580962895,0.09945226163943476,0.05535870837952836
SAR,72.png,2,0.008627868029014829,3.9271845753041292,0.024836664396562576,0.3963607189837193,0.0461034851550392,0.04781243379269792
SAR,72.png,4,0.047885976993429225,3.1887531475906252,0.06165895403346369,0.5200072205907672,0.06747566191036203,0.028516232528630864
SAR,17.png,1,0.000886329598965313,30.13701143388231,0.028812167517583635,0.49923388250056505,0.08547453498264194,0.0
SAR,17.png,5,0.1054229736328125,5.1156459105002785,0.05451294425380966,0.7123806519930066,0.14479832712384538,0.023501991655633957
SAR,17.png,11,0.1780559470787182,2.4910979476281607,0.03606650514260156,0.4312944777711307,0.07605113629412344,0.028492480707460025
SAR,17.png,1,0.0021981334021900223,10.521008080567013,0.09279980034108397,0.6976826050345952,0.12307634105033113,0.0
SAR,17.png,1,0.003198943478553984,33.283473447818295,0.025973677142089712,0.3987037433800021,0.06924409180315676,0.0
SAR,646.png,2,0.08715302031725969,8.071606780074491,0.068590925152607,0.05159431685447213,0.01031675379958547,0.11604959378340668
SAR,646.png,1,0.0035077971026549193,21.632894368808472,0.042428050772904354,0.007889945317691882,0.0014059746774311218,0.0
